Google Scholar Category,Google Scholar Subcategory,Venue,h5 Index,cs_venue,fuzzy_venue_matches,paper_count
Health & Medical Sciences,Oncology,seminars-in-cancer-biology,104,0,Seminars in Cancer Biology,1
Health & Medical Sciences,Oncology,european-journal-of-cancer,96,0,European Journal of Cancer Care,1
Health & Medical Sciences,Ophthalmology & Optometry,ophthalmology,96,0,Ophthalmology,1
Health & Medical Sciences,Ophthalmology & Optometry,british-journal-of-ophthalmology,69,0,British Journal of Ophthalmology,3
Health & Medical Sciences,Ophthalmology & Optometry,jama-ophthalmology,68,0,JAMA Ophthalmology,1
Health & Medical Sciences,Ophthalmology & Optometry,american-journal-of-ophthalmology,66,0,American Journal of Ophthalmology,1
Health & Medical Sciences,Ophthalmology & Optometry,investigative-ophthalmology-and-visual-science,65,0,Investigative Ophthalmology & Visual Science,6
Health & Medical Sciences,Ophthalmology & Optometry,indian-journal-of-ophthalmology,55,0,Indian Journal of Ophthalmology,10
Health & Medical Sciences,Ophthalmology & Optometry,acta-ophthalmologica,54,0,Acta Ophthalmologica,3
Health & Medical Sciences,Ophthalmology & Optometry,graefe-s-archive-for-clinical-and-experimental-ophthalmology,53,0,Graefes Archive for Clinical and Experimental Ophthalmology,8
Health & Medical Sciences,Ophthalmology & Optometry,clinical-ophthalmology,46,0,Clinical Ophthalmology,8
Health & Medical Sciences,Ophthalmology & Optometry,translational-vision-science-and-technology,46,0,Translational Vision Science & Technology,48
Health & Medical Sciences,Ophthalmology & Optometry,cornea,43,0,Cornea,1
Health & Medical Sciences,Oral & Maxillofacial Surgery,journal-of-oral-and-maxillofacial-surgery,40,0,Japanese Journal of Oral and Maxillofacial Surgery,1
Health & Medical Sciences,Oral & Maxillofacial Surgery,progress-in-orthodontics,39,0,Progress in orthodontics,2
Health & Medical Sciences,Oral & Maxillofacial Surgery,oral-surgery-oral-medicine-oral-pathology-and-oral-radiology,38,0,"Journal of oral medicine, oral surgery, oral pathology and oral radiology, Oral Surgery, Oral Medicine, Oral Pathology, and Oral Radiology",2
Health & Medical Sciences,Oral & Maxillofacial Surgery,medicina-oral-patologia-oral-y-cirugia-bucal,38,0,Medicina Oral Patologia Oral Y Cirugia Bucal,4
Health & Medical Sciences,Oral & Maxillofacial Surgery,british-journal-of-oral-and-maxillofacial-surgery,36,0,British Journal of Oral & Maxillofacial Surgery,1
Health & Medical Sciences,Oral & Maxillofacial Surgery,international-journal-of-implant-dentistry,34,0,International Journal of Implant Dentistry,1
Health & Medical Sciences,Oral & Maxillofacial Surgery,the-cleft-palate-craniofacial-journal,28,0,The Cleft Palate-Craniofacial Journal,1
Health & Medical Sciences,Oral & Maxillofacial Surgery,journal-of-oral-and-maxillofacial-pathology,26,0,Journal of Oral and Maxillofacial Pathology,12
Health & Medical Sciences,Oral & Maxillofacial Surgery,journal-of-maxillofacial-and-oral-surgery,24,0,Japanese Journal of Oral and Maxillofacial Surgery,1
Health & Medical Sciences,Orthopedic Medicine & Surgery,the-american-journal-of-sports-medicine,78,0,American Journal of Sports Medicine,1
Health & Medical Sciences,Orthopedic Medicine & Surgery,knee-surgery-sports-traumatology-arthroscopy,70,0,"Knee Surgery, Sports Traumatology, Arthroscopy",8
Health & Medical Sciences,Orthopedic Medicine & Surgery,bmc-musculoskeletal-disorders,67,0,BMC Musculoskeletal Disorders,21
Health & Medical Sciences,Orthopedic Medicine & Surgery,jaaos-journal-of-the-american-academy-of-orthopaedic-surgeons,58,0,Journal of the American Academy of Orthopaedic Surgeons,5
Health & Medical Sciences,Orthopedic Medicine & Surgery,international-orthopaedics,57,0,International Orthopaedics,2
Health & Medical Sciences,Orthopedic Medicine & Surgery,orthopaedic-journal-of-sports-medicine,53,0,Orthopaedic Journal of Sports Medicine,14
Health & Medical Sciences,Orthopedic Medicine & Surgery,journal-of-orthopaedic-surgery-and-research,52,0,Journal of Orthopaedic Surgery and Research,11
Health & Medical Sciences,Orthopedic Medicine & Surgery,efort-open-reviews,49,0,EFORT open reviews,3
Health & Medical Sciences,Orthopedic Medicine & Surgery,european-spine-journal,47,0,European Spine Journal,5
Health & Medical Sciences,Orthopedic Medicine & Surgery,journal-of-orthopaedic-research,46,0,Journal of Orthopaedic Research,1
Health & Medical Sciences,Otolaryngology,otolaryngology-head-and-neck-surgery,61,0,Otolaryngology-Head and Neck Surgery,3
Health & Medical Sciences,Otolaryngology,jama-otolaryngology-head-and-neck-surgery,60,0,Otolaryngology-Head and Neck Surgery,3
Health & Medical Sciences,Otolaryngology,european-archives-of-oto-rhino-laryngology,52,0,"European Archives of Oto-Rhino-Laryngology, European Archives of Oto-rhino-laryngology",68
Health & Medical Sciences,Otolaryngology,international-forum-of-allergy-and-rhinology,47,0,International Forum of Allergy & Rhinology,2
Health & Medical Sciences,Otolaryngology,hearing-research,45,0,Hearing Research,25
Health & Medical Sciences,Otolaryngology,ear-and-hearing,43,0,Ear and Hearing,41
Health & Medical Sciences,Otolaryngology,american-journal-of-otolaryngology,42,0,American Journal of Otolaryngology,1
Health & Medical Sciences,Otolaryngology,otology-and-neurotology,42,0,Otology & Neurotology,2
Health & Medical Sciences,Otolaryngology,international-journal-of-pediatric-otorhinolaryngology,38,0,International Journal of Pediatric Otorhinolaryngology,1
Health & Medical Sciences,Otolaryngology,laryngoscope-investigative-otolaryngology,33,0,Laryngoscope investigative otolaryngology,17
Health & Medical Sciences,Otolaryngology,brazilian-journal-of-otorhinolaryngology,33,0,Brazilian Journal of Otorhinolaryngology,58
Health & Medical Sciences,Otolaryngology,ear-nose-and-throat-journal,32,0,"Ear, nose, & throat journal",4
Health & Medical Sciences,Otolaryngology,journal-of-otolaryngology-head-and-neck-surgery,31,0,"Indian Journal of Otolaryngology and Head & Neck Surgery, Journal of otolaryngology-head and neck surgery",6
Health & Medical Sciences,Otolaryngology,clinical-otolaryngology,30,0,Clinical Otolaryngology,3
Health & Medical Sciences,Pain & Pain Management,pain,82,0,Pain,2
Health & Medical Sciences,Pain & Pain Management,cephalalgia,66,0,Cephalalgia,2
Health & Medical Sciences,Pain & Pain Management,journal-of-headache-and-pain,65,0,Journal of Headache and Pain,5
Health & Medical Sciences,Pain & Pain Management,pain-medicine,60,0,Pain Medicine,1
Health & Medical Sciences,Pain & Pain Management,headache,58,0,Headache,1
Health & Medical Sciences,Pain & Pain Management,journal-of-pain-research,55,0,"Journal of Ovarian Research, Journal of Pain Research",15
Health & Medical Sciences,Pain & Pain Management,european-journal-of-pain,52,0,European Journal of Pain,2
Health & Medical Sciences,Pain & Pain Management,the-journal-of-pain,51,0,The Journal of Pain,1
Health & Medical Sciences,Pain & Pain Management,pain-reports,40,0,Pain reports,6
Health & Medical Sciences,Pain & Pain Management,pain-research-and-management,37,0,Pain Research & Management,12
Health & Medical Sciences,Pain & Pain Management,molecular-pain,29,0,Molecular Pain,2
Health & Medical Sciences,Pain & Pain Management,scandinavian-journal-of-pain,27,0,Scandinavian Journal of Pain,1
Health & Medical Sciences,Pathology,acta-neuropathologica,89,0,Acta Neuropathologica,2
Health & Medical Sciences,Pathology,modern-pathology,73,0,Modern Pathology,7
Health & Medical Sciences,Pathology,acta-neuropathologica-communications,70,0,"Acta Neuropathologica Communications, Acta neuropathologica communications",8
Health & Medical Sciences,Pathology,journal-of-pathology,64,0,"The Journal of Pathology, The journal of pathology",20
Health & Medical Sciences,Pathology,archives-of-pathology-and-laboratory-medicine,55,0,Archives of Pathology & Laboratory Medicine,6
Health & Medical Sciences,Pathology,histopathology,54,0,Histopathology,2
Health & Medical Sciences,Pathology,virchows-archiv,51,0,Virchows Archiv,3
Health & Medical Sciences,Pathology,brain-pathology,48,0,Brain Pathology,1
Health & Medical Sciences,Pathology,laboratory-investigation,46,0,Laboratory Investigation,4
Health & Medical Sciences,Pathology,american-journal-of-clinical-pathology,45,0,American Journal of Clinical Pathology,2
Health & Medical Sciences,Pathology,journal-of-clinical-pathology,43,0,"Journal of Clinical Pathology, Journal of Clinical Psychology",3
Health & Medical Sciences,Pathology,neuropathology-and-applied-neurobiology,39,0,Neuropathology and Applied Neurobiology,1
Health & Medical Sciences,Pathology,pathology-and-oncology-research,39,0,Pathology & Oncology Research,4
Health & Medical Sciences,Pathology,expert-review-of-molecular-diagnostics,38,0,Expert Review of Molecular Diagnostics,1
Health & Medical Sciences,Pediatric Medicine,pediatrics,124,0,Pediatrics,4
Health & Medical Sciences,Pediatric Medicine,frontiers-in-pediatrics,74,0,Frontiers in Pediatrics,45
Health & Medical Sciences,Pediatric Medicine,the-journal-of-pediatrics,71,0,The Journal Of Pediatrics: X,1
Health & Medical Sciences,Pediatric Medicine,pediatric-research,64,0,Pediatric Research,7
Health & Medical Sciences,Pediatric Medicine,archives-of-disease-in-childhood,61,0,Archives of Disease in Childhood,1
Health & Medical Sciences,Pediatric Medicine,bmc-pediatrics,60,0,BMC Pediatrics,22
Health & Medical Sciences,Pediatric Medicine,developmental-medicine-and-child-neurology,59,0,Developmental Medicine & Child Neurology,3
Health & Medical Sciences,Pediatric Medicine,european-journal-of-pediatrics,57,0,European Journal of Pediatrics,1
Health & Medical Sciences,Pediatric Medicine,acta-paediatrica,56,0,Acta Paediatrica,4
Health & Medical Sciences,Pediatric Medicine,archives-of-disease-in-childhood-fetal-and-neonatal-edition,55,0,Archives of Disease in Childhood-fetal and Neonatal Edition,1
Health & Medical Sciences,Pediatric Medicine,pediatric-nephrology,53,0,Pediatric Nephrology,2
Health & Medical Sciences,Pediatric Medicine,pediatric-pulmonology,52,0,Pediatric Pulmonology,4
Health & Medical Sciences,Pediatric Medicine,journal-of-pediatric-gastroenterology-and-nutrition,50,0,Journal of Pediatric Gastroenterology and Nutrition,1
Health & Medical Sciences,Pediatric Medicine,journal-of-pediatric-surgery,50,0,World journal of pediatric surgery,1
Health & Medical Sciences,Pediatric Medicine,italian-journal-of-pediatrics,49,0,Italian Journal of Pediatrics,1
Health & Medical Sciences,Pediatric Medicine,american-journal-of-perinatology,45,0,American Journal of Primatology,1
Health & Medical Sciences,Pharmacology & Pharmacy,nature-reviews-drug-discovery,136,0,Nature Reviews Drug Discovery,2
Health & Medical Sciences,Pharmacology & Pharmacy,frontiers-in-pharmacology,133,0,Frontiers in Pharmacology,172
Health & Medical Sciences,Pharmacology & Pharmacy,journal-of-controlled-release,125,0,Journal of Controlled Release,1
Health & Medical Sciences,Pharmacology & Pharmacy,journal-of-medicinal-chemistry,112,0,Journal of Medicinal Chemistry,15
Health & Medical Sciences,Pharmacology & Pharmacy,pharmaceutics,111,0,"Pharmaceuticals, Pharmaceutics",69
Health & Medical Sciences,Pharmacology & Pharmacy,international-journal-of-nanomedicine,99,0,International Journal of Nanomedicine,3
Health & Medical Sciences,Pharmacology & Pharmacy,international-journal-of-pharmaceutics,99,0,"International Journal Of Pharmaceutics: X, International Journal of Applied Pharmaceutics",8
Health & Medical Sciences,Pharmacology & Pharmacy,acta-pharmaceutica-sinica-b,96,0,Acta Pharmaceutica Sinica B,13
Health & Medical Sciences,Pharmacology & Pharmacy,neuropsychopharmacology,90,0,Neuropsychopharmacology,7
Health & Medical Sciences,Pharmacology & Pharmacy,british-journal-of-pharmacology,88,0,British Journal of Pharmacology,18
Health & Medical Sciences,Pharmacology & Pharmacy,journal-of-ethnopharmacology,84,0,Journal of Ethnopharmacology,2
Health & Medical Sciences,Pharmacology & Pharmacy,medicinal-research-reviews,79,0,Medicinal Research Reviews,2
Health & Medical Sciences,Pharmacology & Pharmacy,clinical-pharmacology-and-therapeutics,77,0,Clinical Pharmacology & Therapeutics,11
Health & Medical Sciences,Pharmacology & Pharmacy,european-journal-of-pharmacology,76,0,European Journal of Pharmacology,1
Health & Medical Sciences,Physical Education & Sports Medicine,sports-medicine,97,0,Sports Medicine,5
Health & Medical Sciences,Physical Education & Sports Medicine,international-journal-of-behavioral-nutrition-and-physical-activity,80,0,International Journal of Behavioral Nutrition and Physical Activity,3
Health & Medical Sciences,Physical Education & Sports Medicine,the-american-journal-of-sports-medicine,78,0,American Journal of Sports Medicine,1
Health & Medical Sciences,Physical Education & Sports Medicine,the-journal-of-strength-and-conditioning-research,74,0,Journal of Strength and Conditioning Research,2
Health & Medical Sciences,Physical Education & Sports Medicine,knee-surgery-sports-traumatology-arthroscopy,70,0,"Knee Surgery, Sports Traumatology, Arthroscopy",8
Health & Medical Sciences,Physical Education & Sports Medicine,journal-of-sport-and-health-science,68,0,Journal of Sport and Health Science,3
Health & Medical Sciences,Physical Education & Sports Medicine,medicine-and-science-in-sports-and-exercise,67,0,Medicine and Science in Sports and Exercise,2
Health & Medical Sciences,Physical Education & Sports Medicine,journal-of-sports-sciences,66,0,Journal of Sports Sciences,2
Health & Medical Sciences,Physical Education & Sports Medicine,psychology-of-sport-and-exercise,64,0,Psychology of Sport and Exercise,1
Health & Medical Sciences,Physical Education & Sports Medicine,physical-therapy,57,0,Physical therapy,1
Health & Medical Sciences,Physical Education & Sports Medicine,sports-medicine-open,55,0,Sports Medicine - Open,13
Health & Medical Sciences,Physical Education & Sports Medicine,european-journal-of-sport-science,53,0,European Journal of Soil Science,3
Health & Medical Sciences,Physical Education & Sports Medicine,orthopaedic-journal-of-sports-medicine,53,0,Orthopaedic Journal of Sports Medicine,14
Health & Medical Sciences,Physical Education & Sports Medicine,sports,51,0,Sports,5
Health & Medical Sciences,Physical Education & Sports Medicine,journal-of-athletic-training,50,0,Journal of Athletic Training,2
Health & Medical Sciences,Physiology,journal-of-cellular-physiology,109,0,Journal of Cellular Physiology,1
Health & Medical Sciences,Physiology,the-journal-of-physiology,70,0,The Journal of Physiology,13
Health & Medical Sciences,Physiology,journal-of-applied-physiology,58,0,Journal of Applied Phycology,1
Health & Medical Sciences,Physiology,journal-of-neurophysiology,50,0,Journal of Neurophysiology,9
Health & Medical Sciences,Physiology,european-journal-of-applied-physiology,49,0,"European Journal of Applied Physiology, European journal of applied physic",7
Health & Medical Sciences,Physiology,acta-physiologica,48,0,Acta Physiologica,1
Health & Medical Sciences,Physiology,pflugers-archiv-european-journal-of-physiology,46,0,Pflügers Archiv: European Journal of Physiology,1
Health & Medical Sciences,Physiology,physiological-reports,44,0,Physiological Reports,13
Health & Medical Sciences,Physiology,experimental-physiology,39,0,Experimental Physiology,1
Health & Medical Sciences,Plastic & Reconstructive Surgery,plastic-and-reconstructive-surgery,63,0,Plastic and Reconstructive Surgery,2
Health & Medical Sciences,Plastic & Reconstructive Surgery,journal-of-cosmetic-dermatology,53,0,Journal of Cosmetic Dermatology,1
Health & Medical Sciences,Plastic & Reconstructive Surgery,aesthetic-surgery-journal,46,0,Aesthetic surgery journal,1
Health & Medical Sciences,Plastic & Reconstructive Surgery,plastic-and-reconstructive-surgery-global-open,45,0,Plastic and reconstructive surgery. Global open,20
Health & Medical Sciences,Plastic & Reconstructive Surgery,journal-of-plastic-reconstructive-and-aesthetic-surgery,42,0,Journal of Plastic Reconstructive and Aesthetic Surgery,1
Health & Medical Sciences,Plastic & Reconstructive Surgery,aesthetic-plastic-surgery,40,0,Aesthetic Plastic Surgery,1
Health & Medical Sciences,Plastic & Reconstructive Surgery,the-cleft-palate-craniofacial-journal,28,0,The Cleft Palate-Craniofacial Journal,1
Health & Medical Sciences,Plastic & Reconstructive Surgery,archives-of-plastic-surgery,23,0,Archives of Plastic Surgery,2
Health & Medical Sciences,Pregnancy & Childbirth,bmc-pregnancy-and-childbirth,84,0,BMC Pregnancy and Childbirth,16
Health & Medical Sciences,Pregnancy & Childbirth,archives-of-disease-in-childhood-fetal-and-neonatal-edition,55,0,Archives of Disease in Childhood-fetal and Neonatal Edition,1
Health & Medical Sciences,Pregnancy & Childbirth,journal-of-perinatology,48,0,Journal of Perinatology,1
Health & Medical Sciences,Pregnancy & Childbirth,american-journal-of-perinatology,45,0,American Journal of Primatology,1
Health & Medical Sciences,Pregnancy & Childbirth,international-breastfeeding-journal,44,0,International Breastfeeding Journal,1
Health & Medical Sciences,Pregnancy & Childbirth,maternal-and-child-health-journal,40,0,Journal of maternal and child health,2
Health & Medical Sciences,Pregnancy & Childbirth,birth-defects-research,35,0,Birth Defects Research,1
Health & Medical Sciences,Primary Health Care,journal-of-general-internal-medicine,87,0,"International Journal of General Medicine, Journal of General Internal Medicine",42
Health & Medical Sciences,Primary Health Care,british-journal-of-general-practice,53,0,British Journal of General Practice,3
Health & Medical Sciences,Primary Health Care,bmc-family-practice,49,0,BMC Family Practice,11
Health & Medical Sciences,Primary Health Care,the-annals-of-family-medicine,41,0,Annals of Family Medicine,10
Health & Medical Sciences,Primary Health Care,family-practice,35,0,Family Practice,2
Health & Medical Sciences,Primary Health Care,the-journal-of-the-american-board-of-family-medicine,35,0,Journal of the American Board of Family Medicine,1
Health & Medical Sciences,Primary Health Care,scandinavian-journal-of-primary-health-care,30,0,Scandinavian Journal of Primary Health Care,2
Health & Medical Sciences,Primary Health Care,primary-health-care-research-and-development,29,0,Primary Health Care Research & Development,2
Health & Medical Sciences,Primary Health Care,british-journal-of-general-practice-open,28,0,British Journal of General Practice,3
Health & Medical Sciences,Primary Health Care,family-medicine-and-community-health,25,0,Family Medicine and Community Health,1
Health & Medical Sciences,Primary Health Care,european-journal-of-general-practice,24,0,European Journal of General Practice,2
Health & Medical Sciences,Psychiatry,journal-of-affective-disorders,140,0,Journal of Affective Disorders,1
Health & Medical Sciences,Psychiatry,psychiatry-research,135,0,Psychiatry Research,3
Health & Medical Sciences,Psychiatry,molecular-psychiatry,131,0,Molecular Psychiatry,11
Health & Medical Sciences,Psychiatry,frontiers-in-psychiatry,130,0,Frontiers in Psychiatry,136
Health & Medical Sciences,Psychiatry,the-lancet-psychiatry,119,0,The Lancet Psychiatry,3
Health & Medical Sciences,Psychiatry,psychological-medicine,98,0,Psychological Medicine,5
Health & Medical Sciences,Psychiatry,biological-psychiatry,96,0,Biological Psychiatry,5
Health & Medical Sciences,Psychiatry,international-journal-of-mental-health-and-addiction,92,0,International Journal of Mental Health and Addiction,6
Health & Medical Sciences,Psychiatry,neuropsychopharmacology,90,0,Neuropsychopharmacology,7
Health & Medical Sciences,Psychiatry,translational-psychiatry,90,0,Translational Psychiatry,42
Health & Medical Sciences,Psychiatry,bmc-psychiatry,90,0,BMC Psychiatry,47
Health & Medical Sciences,Psychiatry,journal-of-child-psychology-and-psychiatry,76,0,Journal of Child Psychology and Psychiatry,17
Health & Medical Sciences,Psychiatry,asian-journal-of-psychiatry,75,0,"Indian Journal of Psychiatry, Iranian Journal of Psychiatry",5
Health & Medical Sciences,Psychiatry,european-child-and-adolescent-psychiatry,74,0,European Child & Adolescent Psychiatry,3
Health & Medical Sciences,Psychiatry,journal-of-psychiatric-research,73,0,Journal of Psychiatric Research,2
Health & Medical Sciences,Psychology,frontiers-in-psychology,185,0,Frontiers in Psychology,4583
Health & Medical Sciences,Psychology,trends-in-cognitive-sciences,111,0,Trends in Cognitive Sciences,4
Health & Medical Sciences,Psychology,personality-and-individual-differences,101,0,Personality and Individual Differences,4
Health & Medical Sciences,Psychology,current-opinion-in-psychology,98,0,Current opinion in psychology,1
Health & Medical Sciences,Psychology,perspectives-on-psychological-science,95,0,Perspectives on Psychological Science,4
Health & Medical Sciences,Psychology,journal-of-applied-psychology,89,0,Journal of Applied Phycology,1
Health & Medical Sciences,Psychology,current-psychology,86,0,Current Psychology,39
Health & Medical Sciences,Psychology,journal-of-vocational-behavior,83,0,Journal of Vocational Behavior,1
Health & Medical Sciences,Psychology,psychological-bulletin,79,0,Psychological Bulletin,2
Health & Medical Sciences,Psychology,child-development,77,0,Child Development,22
Health & Medical Sciences,Psychology,journal-of-child-psychology-and-psychiatry,76,0,Journal of Child Psychology and Psychiatry,17
Health & Medical Sciences,Psychology,psychological-science,76,0,Psychological Science,15
Health & Medical Sciences,Psychology,educational-psychology-review,75,0,Educational Psychology Review,23
Health & Medical Sciences,Psychology,european-child-and-adolescent-psychiatry,74,0,European Child & Adolescent Psychiatry,3
Health & Medical Sciences,Public Health,international-journal-of-environmental-research-and-public-health,229,0,International Journal of Environmental Research and Public Health,525
Health & Medical Sciences,Public Health,bmc-public-health,141,0,BMC Public Health,45
Health & Medical Sciences,Public Health,international-journal-of-behavioral-nutrition-and-physical-activity,80,0,International Journal of Behavioral Nutrition and Physical Activity,3
Health & Medical Sciences,Public Health,jmir-public-health-and-surveillance,67,0,JMIR public health and surveillance,29
Health & Medical Sciences,Public Health,public-health,67,0,Public Health,2
Health & Medical Sciences,Public Health,international-journal-for-equity-in-health,67,0,International Journal for Equity in Health,4
Health & Medical Sciences,Public Health,nicotine-and-tobacco-research,65,0,Nicotine & Tobacco Research,2
Health & Medical Sciences,Public Health,aids-and-behavior,65,0,Aids and Behavior,1
Health & Medical Sciences,Public Health,journal-of-global-health,64,0,Journal of Global Health,7
Health & Medical Sciences,Public Health,ssm-population-health,64,0,SSM-Population Health,7
Health & Medical Sciences,Public Health,annual-reviews-of-public-health,63,0,Annual Review of Public Health,1
Health & Medical Sciences,Public Health,tobacco-control,63,0,Tobacco Control,2
Health & Medical Sciences,Public Health,european-journal-of-public-health,61,0,European journal of public health,8
Health & Medical Sciences,Pulmonology,european-respiratory-journal,144,0,The European respiratory journal,2
Health & Medical Sciences,Pulmonology,american-journal-of-respiratory-and-critical-care-medicine,132,0,American Journal of Respiratory and Critical Care Medicine,3
Health & Medical Sciences,Pulmonology,chest,103,0,Chest,1
Health & Medical Sciences,Pulmonology,thorax,73,0,Thorax,1
Health & Medical Sciences,Pulmonology,respiratory-research,71,0,Respiratory Research,12
Health & Medical Sciences,Pulmonology,european-respiratory-review,62,0,European Respiratory Review,1
Health & Medical Sciences,Pulmonology,journal-of-thoracic-disease,58,0,Journal of Thoracic Disease,12
Health & Medical Sciences,Pulmonology,pediatric-pulmonology,52,0,Pediatric Pulmonology,4
Health & Medical Sciences,Pulmonology,bmc-pulmonary-medicine,51,0,"BMC Pulmonary Medicine, Pulmonary Medicine",18
Health & Medical Sciences,Pulmonology,respirology,51,0,Respirology,4
Health & Medical Sciences,Pulmonology,erj-open-research,49,0,ERJ Open Research,2
Health & Medical Sciences,Pulmonology,translational-lung-cancer-research,49,0,"Translational cancer research, Translational lung cancer research",13
Health & Medical Sciences,Pulmonology,thoracic-cancer,46,0,Thoracic Cancer,4
Health & Medical Sciences,Radiology & Medical Imaging,radiology,140,0,Radiology,7
Health & Medical Sciences,Radiology & Medical Imaging,ieee-transactions-on-medical-imaging,125,0,IEEE Transactions on Medical Imaging,152
Health & Medical Sciences,Radiology & Medical Imaging,european-radiology,108,0,European Radiology,40
Health & Medical Sciences,Radiology & Medical Imaging,medical-physics,81,0,Medical Physics,47
Health & Medical Sciences,Radiology & Medical Imaging,journal-of-magnetic-resonance-imaging,71,0,Journal of Magnetic Resonance Imaging,7
Health & Medical Sciences,Radiology & Medical Imaging,physics-in-medicine-and-biology,69,0,Physics in Medicine and Biology,38
Health & Medical Sciences,Radiology & Medical Imaging,magnetic-resonance-in-medicine,67,0,Magnetic Resonance in Medicine,30
Health & Medical Sciences,Radiology & Medical Imaging,radiographics,62,0,Radiographics,3
Health & Medical Sciences,Radiology & Medical Imaging,academic-radiology,61,0,Academic Radiology,4
Health & Medical Sciences,Radiology & Medical Imaging,american-journal-of-neuroradiology,61,0,American Journal of Neuroradiology,37
Health & Medical Sciences,Radiology & Medical Imaging,european-journal-of-radiology,59,0,"European Journal of Radiology, European Journal of Radiology Open",15
Health & Medical Sciences,Radiology & Medical Imaging,journal-of-digital-imaging,56,0,Journal of Digital Imaging,68
Health & Medical Sciences,Radiology & Medical Imaging,journal-of-the-american-society-of-echocardiography,56,0,Journal of The American Society of Echocardiography,1
Health & Medical Sciences,Radiology & Medical Imaging,journal-of-the-american-college-of-radiology,56,0,Journal of The American College of Radiology,4
Health & Medical Sciences,Radiology & Medical Imaging,computerized-medical-imaging-and-graphics,55,0,Computerized Medical Imaging and Graphics,23
Health & Medical Sciences,Rehabilitation Therapy,ieee-transactions-on-neural-systems-and-rehabilitation-engineering,73,0,IEEE Transactions on Neural Systems and Rehabilitation Engineering,140
Health & Medical Sciences,Rehabilitation Therapy,disability-and-rehabilitation,63,0,Disability and Rehabilitation,3
Health & Medical Sciences,Rehabilitation Therapy,journal-of-neuroengineering-and-rehabilitation,61,0,Journal of Neuroengineering and Rehabilitation,87
Health & Medical Sciences,Rehabilitation Therapy,clinical-rehabilitation,47,0,Clinical Rehabilitation,1
Health & Medical Sciences,Rehabilitation Therapy,neurorehabilitation-and-neural-repair,45,0,Neurorehabilitation and Neural Repair,3
Health & Medical Sciences,Rehabilitation Therapy,disability-and-rehabilitation-assistive-technology,43,0,Disability and Rehabilitation: Assistive Technology,3
Health & Medical Sciences,Rehabilitation Therapy,neuropsychological-rehabilitation,41,0,Neuropsychological Rehabilitation,2
Health & Medical Sciences,Rehabilitation Therapy,brain-injury,35,0,Brain Injury,1
Health & Medical Sciences,Rehabilitation Therapy,spinal-cord,33,0,Spinal Cord,2
Health & Medical Sciences,Rehabilitation Therapy,the-journal-of-spinal-cord-medicine,33,0,Journal of Spinal Cord Medicine,1
Health & Medical Sciences,Rehabilitation Therapy,topics-in-stroke-rehabilitation,30,0,Topics in Stroke Rehabilitation,1
Health & Medical Sciences,Reproductive Health,fertility-and-sterility,78,0,Fertility and Sterility,3
Health & Medical Sciences,Reproductive Health,human-reproduction,76,0,Human Reproduction,2
Health & Medical Sciences,Reproductive Health,reproductive-health,61,0,Reproductive Health,2
Health & Medical Sciences,Reproductive Health,journal-of-assisted-reproduction-and-genetics,53,0,Journal of Assisted Reproduction and Genetics,3
Health & Medical Sciences,Reproductive Health,reproductive-biology-and-endocrinology,47,0,Reproductive Biology and Endocrinology,4
Health & Medical Sciences,Reproductive Health,reproduction,44,0,Reproduction,1
Health & Medical Sciences,Reproductive Health,human-reproduction-open,42,0,Human Reproduction Open,4
Health & Medical Sciences,Reproductive Health,american-journal-of-reproductive-immunology,39,0,American Journal of Reproductive Immunology,1
Health & Medical Sciences,Reproductive Health,reproductive-medicine-and-biology,32,0,Reproductive Medicine and Biology,2
Health & Medical Sciences,Rheumatology,annals-of-the-rheumatic-diseases,130,0,Annals of the Rheumatic Diseases,5
Health & Medical Sciences,Rheumatology,arthritis-and-rheumatology,100,0,Arthritis & rheumatology,4
Health & Medical Sciences,Rheumatology,rheumatology,82,0,"Hematology, Rheumatology",4
Health & Medical Sciences,Rheumatology,the-lancet-rheumatology,70,0,The Lancet Rheumatology,1
Health & Medical Sciences,Rheumatology,osteoarthritis-and-cartilage,63,0,Osteoarthritis and cartilage open,3
Health & Medical Sciences,Rheumatology,arthritis-research-and-therapy,60,0,Arthritis Research & Therapy,12
Health & Medical Sciences,Rheumatology,seminars-in-arthritis-and-rheumatism,58,0,Seminars in Arthritis and Rheumatism,1
Health & Medical Sciences,Rheumatology,clinical-rheumatology,58,0,Clinical Rheumatology,3
Health & Medical Sciences,Rheumatology,rmd-open,56,0,RMD Open,1
Health & Medical Sciences,Rheumatology,arthritis-care-and-research,55,0,Arthritis Care and Research,2
Health & Medical Sciences,Rheumatology,rheumatology-international,52,0,Rheumatology International,1
Health & Medical Sciences,Rheumatology,current-opinion-in-rheumatology,43,0,Current Opinion in Rheumatology,1
Health & Medical Sciences,Social Psychology,personality-and-individual-differences,101,0,Personality and Individual Differences,4
Health & Medical Sciences,Social Psychology,cyberpsychology-behavior-and-social-networking,68,0,"Cyberpsychology, Behavior, and Social Networking",5
Health & Medical Sciences,Social Psychology,social-psychological-and-personality-science,65,0,Social Psychological and Personality Science,3
Health & Medical Sciences,Social Psychology,personality-and-social-psychology-bulletin,62,0,Personality and Social Psychology Bulletin,2
Health & Medical Sciences,Social Psychology,journal-of-personality,55,0,Journal of Personality,1
